unit,top_genre,top_genre_enrichment,genre_enrichment_all,year_skew,top_genome_tags,top_user_tags
86,War,2.103,"{'War': 2.1026845637583893, 'Fantasy': 1.5190303030303032, 'Adventure': 1.3572563176895307, 'Drama': 1.3552294144909625}",-3.7,"[('good', 0.325), ('great movie', 0.3), ('very good', 0.292), ('great', 0.286), ('excellent', 0.285), ('oscar winner', 0.26), ('good acting', 0.255), ('awesome', 0.254), ('original plot', 0.243), ('great ending', 0.243)]","['atmospheric', 'world war ii', 'less than 300 ratings', 'criterion', 'adapted from:book']"
87,Animation,2.262,"{'Animation': 2.2619124017327126, 'Fantasy': 2.2290118577075098, 'War': 2.0569740297636416, 'Romance': 1.96737635308893}",7.9,"[('great movie', -0.176), ('good', -0.176), ('very good', -0.169), ('great', -0.166), ('oscar winner', -0.165), ('excellent', -0.161), ('good acting', -0.145), ('original plot', -0.145), ('awesome', -0.139), ('brilliant', -0.134)]","['true story', 'romance', 'nudity (topless)', 'cinematography', 'bfi modern classic']"
88,Musical,2.279,"{'Musical': 2.278729594310651, 'Fantasy': 2.2290118577075098, 'Documentary': 1.753871991043105, 'Romance': 1.68632258836194}",14.6,"[('good', -0.194), ('very good', -0.187), ('great', -0.157), ('excellent', -0.157), ('great movie', -0.156), ('good acting', -0.156), ('interesting', -0.146), ('great ending', -0.143), ('great acting', -0.141), ('clever', -0.138)]","['boring', 'adapted from:book', 'nudity (topless)', 'losing control', 'personal demons']"
89,Documentary,2.305,"{'Documentary': 2.3050889025137953, 'Romance': 2.216309687561407, 'Drama': 1.7424378186312377, 'Comedy': 1.2460008837825896}",2.0,"[('saturn award (best special effects)', -0.046), ('drinking', 0.038), ('surfing', -0.038), ('silly fun', -0.037), ('kids', -0.036), ('aging', 0.036), ('scifi cult', -0.036), ('workplace', 0.036), ('wistful', 0.036), ('relationships', 0.035)]","['adultery', 'less than 300 ratings', 'adapted from:book', '70mm', 'based on a book']"
90,War,2.703,"{'War': 2.7034515819750715, 'Children': 2.308391322144904, 'Thriller': 1.6854154213986847, 'Action': 1.204828372026777}",-0.5,"[('good', 0.083), ('great', 0.079), ('great movie', 0.077), ('very good', 0.072), ('excellent', 0.065), ('interesting', 0.061), ('great acting', 0.059), ('original plot', 0.058), ('fun movie', 0.056), ('good acting', 0.054)]","['betamax', 'bd-r', 'clint eastwood', 'less than 300 ratings', 'don siegel']"
91,IMAX,8.81,"{'IMAX': 8.810185908451805, 'Romance': 1.7470909699245325, 'Comedy': 1.3470279824676643, 'Drama': 1.295055135469163}",-3.5,"[('saturn award (best special effects)', -0.09), ('saturn award (best science fiction film)', -0.088), ('oscar (best sound)', -0.075), ('adventure', -0.073), ('oscar (best effects - visual effects)', -0.07), ('great movie', -0.069), ('exciting', -0.069), ('quotable', -0.069), ('fantasy', -0.065), ('great', -0.064)]","['betamax', 'dvd-video', 'oscar (best actor)', 'oscar (best supporting actress)', 'alcohol']"
92,Documentary,2.123,"{'Documentary': 2.1231081996837586, 'Fantasy': 1.7988516746411483, 'Romance': 1.7011148917686236, 'Comedy': 1.3115798776658836}",4.7,"[('good', -0.158), ('very good', -0.148), ('great movie', -0.148), ('great', -0.14), ('excellent', -0.131), ('oscar winner', -0.125), ('good acting', -0.124), ('original plot', -0.122), ('great ending', -0.12), ('clever', -0.118)]","['business', 'dvd-video', 'nudity (topless)', 'teen movie', 'kal penn']"
93,Fantasy,2.563,"{'Fantasy': 2.5633636363636363, 'Romance': 1.6160591471801926, 'Crime': 1.355625, 'Sci-Fi': 1.3238028169014087}",3.7,"[('saturn award (best special effects)', -0.075), ('saturn award (best science fiction film)', -0.069), ('oscar (best sound)', -0.061), ('oscar (best effects - visual effects)', -0.056), ('spielberg', -0.051), ('oscar (best editing)', -0.046), ('awesome', -0.045), ('scifi cult', -0.044), ('enormously long battle scene', -0.044), ('exciting', -0.044)]","['betamax', 'clv', 'surreal', 'based on a book', 'adapted from:book']"
94,IMAX,6.791,"{'IMAX': 6.791184971098265, 'War': 1.9712667785234896, 'Action': 1.7570413758723828, 'Sci-Fi': 1.6547535211267608}",4.2,"[('good', -0.155), ('very good', -0.137), ('great', -0.137), ('great movie', -0.137), ('excellent', -0.119), ('great acting', -0.113), ('good acting', -0.112), ('dialogue', -0.11), ('entertaining', -0.109), ('oscar winner', -0.107)]","['nudity (topless)', 'based on a book', 'comedy', 'less than 300 ratings', 'easily confused with other movie(s) (title)']"
95,Horror,2.053,"{'Horror': 2.0532294473166823, 'Drama': 1.40519178921874, 'Adventure': 1.3134738558285781, 'Comedy': 1.2058073068863768}",4.6,"[('saturn award (best special effects)', -0.049), ('saturn award (best science fiction film)', -0.047), ('oscar (best sound)', -0.044), ('spielberg', -0.037), ('oscar (best effects - visual effects)', -0.033), ('future', -0.032), ('travel', -0.029), ('oscar (best editing)', -0.029), ('man versus machine', -0.028), ('star wars', -0.028)]","['easily confused with other movie(s) (title)', 'true story', 'oh my goood!', 'anti-vegetarian propaganda', 'campy']"
96,Western,4.776,"{'Western': 4.775914634146342, 'Children': 1.9705779579285765, 'Crime': 1.7634146341463417, 'Sci-Fi': 1.2915149433184474}",-6.7,"[('saturn award (best special effects)', -0.051), ('saturn award (best science fiction film)', -0.044), ('oscar (best sound)', -0.038), ('tokyo', -0.038), ('con artists', 0.037), ('lawyer', 0.036), ('con men', 0.036), ('lawyers', 0.035), ('puppets', -0.034), ('series', -0.034)]","['atmospheric', 'slow', 'jean gabin', 'downbeat', 'elegiac']"
97,Children,2.126,"{'Children': 2.126149901975569, 'Horror': 1.6750029701793987, 'Adventure': 1.6072772183165493, 'Crime': 1.4269736842105263}",8.4,"[('good', -0.173), ('great', -0.166), ('great movie', -0.166), ('excellent', -0.157), ('very good', -0.154), ('good acting', -0.144), ('great ending', -0.138), ('great acting', -0.131), ('original plot', -0.129), ('oscar winner', -0.129)]","['horror', 'high school', 'jennifer garner', 'jessica biel', 'anne hathaway']"
98,IMAX,6.653,"{'IMAX': 6.652589359443199, 'Mystery': 2.2478475765306123, 'Action': 1.7211833886096812, 'Romance': 1.5830783482581476}",7.5,"[('good', -0.2), ('great movie', -0.182), ('great', -0.178), ('very good', -0.174), ('excellent', -0.168), ('good acting', -0.156), ('oscar winner', -0.151), ('great acting', -0.143), ('great ending', -0.14), ('interesting', -0.136)]","['crude humor', 'julianne moore', 'david duchovny', 'dystopia', 'plot holes']"
99,Horror,2.257,"{'Horror': 2.257096200950963, 'Sci-Fi': 2.2532813904704825, 'Romance': 1.9255172817466122, 'Documentary': 1.7165555657017624}",4.6,"[('good', -0.122), ('very good', -0.12), ('good acting', -0.111), ('original plot', -0.102), ('excellent', -0.101), ('pg-13', -0.099), ('great movie', -0.098), ('interesting', -0.098), ('great', -0.093), ('better than expected', -0.092)]","['betamax', 'predictable', 'nudity (topless - notable)', 'nudity (topless)', 'adultery']"
100,Fantasy,2.563,"{'Fantasy': 2.5633636363636363, 'Documentary': 2.016952789699571, 'Mystery': 1.8357421875000002, 'Adventure': 1.526913357400722}",4.4,"[('saturn award (best science fiction film)', -0.086), ('oscar (best sound)', -0.081), ('oscar (best effects - visual effects)', -0.08), ('saturn award (best special effects)', -0.079), ('great', -0.074), ('quotable', -0.072), ('great movie', -0.071), ('brilliant', -0.07), ('awesome', -0.069), ('excellent', -0.068)]","['less than 300 ratings', 'betamax', 'nazis', 'fred zinnemann', 'jane fonda']"
101,IMAX,5.927,"{'IMAX': 5.926852338413032, 'Children': 2.9379525918207867, 'Documentary': 2.2003121342177137, 'Musical': 1.9058465697870899}",9.0,"[('good', -0.104), ('very good', -0.09), ('excellent', -0.079), ('great', -0.079), ('great movie', -0.074), ('original plot', -0.074), ('good acting', -0.072), ('entertaining', -0.069), ('pg-13', -0.069), ('clever', -0.065)]","['vampires', 'john c reilly', 'salma hayek', 'josh hutcherson', 'execution']"
102,Horror,3.105,"{'Horror': 3.1048835544788855, 'Animation': 2.5377553775537756, 'Sci-Fi': 1.937272414977671, 'Crime': 1.322560975609756}",6.4,"[('good', -0.208), ('very good', -0.196), ('great movie', -0.19), ('great', -0.186), ('excellent', -0.185), ('oscar winner', -0.163), ('good acting', -0.163), ('interesting', -0.156), ('great ending', -0.153), ('great acting', -0.151)]","['nudity (topless)', 'flashbacks', 'abstract ending', 'cerebral', 'excellent cinematography']"
103,Animation,2.538,"{'Animation': 2.5377553775537756, 'Children': 1.9705779579285765, 'Mystery': 1.790967987804878, 'Fantasy': 1.6672283813747228}",3.8,"[('good', -0.113), ('very good', -0.105), ('great', -0.103), ('excellent', -0.098), ('great movie', -0.096), ('oscar winner', -0.095), ('awesome', -0.093), ('great ending', -0.087), ('clever', -0.086), ('good acting', -0.086)]","['less than 300 ratings', 'made for tv', 'bd-r', 'baseball', 'billy crystal']"
104,Fantasy,2.279,"{'Fantasy': 2.2785454545454544, 'Comedy': 1.5228899690676092, 'Horror': 1.414446952595937, 'Crime': 1.205}",-2.0,"[('good', -0.152), ('very good', -0.133), ('great movie', -0.13), ('great', -0.129), ('excellent', -0.126), ('great ending', -0.116), ('cool', -0.113), ('good acting', -0.11), ('entertaining', -0.106), ('awesome', -0.104)]","['nudity (topless)', 'aliens', 'mad scientist', 'based on a book', 'h.g. wells']"
105,Sci-Fi,3.394,"{'Sci-Fi': 3.3943661971830985, 'Children': 3.1074498567335245, 'Horror': 1.632054176072235, 'Comedy': 1.1182059213433495}",1.9,"[('visually appealing', -0.038), ('genocide', -0.037), ('circus', 0.036), ('shakespeare', 0.034), ('best of 2005', -0.033), ('mistaken identity', 0.033), ('propaganda', -0.032), ('disappointing', -0.031), ('slow paced', -0.03), ('based on a play', 0.03)]","['betamax', 'nudity (full frontal - notable)', 'less than 300 ratings', '7n up (series)', 'wikilens top pick']"
106,IMAX,8.358,"{'IMAX': 8.358381502890174, 'Musical': 2.687732342007435, 'Adventure': 2.088086642599278, 'Documentary': 2.0686695278969958}",3.2,"[('good', 0.046), ('great music', 0.044), ('good music', 0.044), ('great movie', 0.041), ('great', 0.04), ('stand-up comedy', -0.036), ('dance', 0.035), ('great ending', 0.035), ('excellent', 0.035), ('exceptional acting', 0.035)]","['campy', 'clv', 'based on a book', 'darren aronofsky', 'unlikeable characters']"
107,Horror,2.021,"{'Horror': 2.020638503708481, 'Mystery': 1.7483258928571428, 'Crime': 1.2910714285714286, 'Comedy': 1.1866675083643707}",-4.0,"[('good', 0.255), ('very good', 0.233), ('great movie', 0.219), ('great', 0.215), ('excellent', 0.208), ('original plot', 0.198), ('good acting', 0.195), ('great ending', 0.193), ('oscar winner', 0.193), ('entertaining', 0.187)]","['social commentary', 'based on a book', 'blindness', 'disability', 'san francisco']"
108,Animation,3.121,"{'Animation': 3.1214391143911437, 'Thriller': 1.8876652719665272, 'Documentary': 1.6135622317596567, 'Mystery': 1.46859375}",4.3,"[('good', 0.213), ('great movie', 0.195), ('very good', 0.193), ('great', 0.193), ('excellent', 0.178), ('oscar winner', 0.165), ('good acting', 0.159), ('great ending', 0.157), ('original plot', 0.156), ('entertaining', 0.15)]","['aliens', 'adventure', 'archaeology', 'made for tv', 'librarians']"
109,Musical,3.418,"{'Musical': 3.4180943914659765, 'Documentary': 2.630807986564658, 'Fantasy': 2.2290118577075098, 'Children': 1.756384701631992}",2.5,"[('great', -0.188), ('great movie', -0.187), ('good', -0.181), ('very good', -0.175), ('excellent', -0.165), ('quotable', -0.143), ('underrated', -0.139), ('original plot', -0.139), ('great ending', -0.137), ('awesome', -0.136)]","['betamax', 'dvd-r', 'criterion', 'nudity (topless)', 'pirates']"
110,IMAX,6.936,"{'IMAX': 6.935678268355676, 'Animation': 3.3206799089267482, 'Action': 1.7944252349334973, 'Children': 1.7190148143632262}",3.9,"[('good', -0.115), ('very good', -0.112), ('good acting', -0.105), ('great', -0.103), ('excellent', -0.098), ('great movie', -0.097), ('great acting', -0.092), ('interesting', -0.091), ('great ending', -0.087), ('clever', -0.083)]","['funny', 'jamie kennedy', 'comedy need to see', 'calista flockhart', 'cameron diaz']"
111,Comedy,2.526,"{'Comedy': 2.5256774671268705, 'Sci-Fi': 1.4311381804339554, 'Romance': 1.0482545819547195, 'Crime': 0.9770270270270272}",0.2,"[('good', 0.073), ('great', 0.072), ('great movie', 0.072), ('oscar winner', 0.071), ('very good', 0.068), ('quotable', 0.058), ('excellent', 0.058), ('oscar (best picture)', 0.054), ('oscar', 0.053), ('classic', 0.052)]","['funny', 'john waters', 'fetish', 'sex comedy', 'dvd-ram']"
112,Horror,2.829,"{'Horror': 2.828893905191874, 'Sci-Fi': 2.3534272300469485, 'Fantasy': 2.2785454545454544, 'Thriller': 1.5730543933054393}",-11.3,"[('good', -0.219), ('very good', -0.196), ('great movie', -0.195), ('great', -0.194), ('excellent', -0.17), ('good acting', -0.15), ('oscar winner', -0.15), ('clever', -0.148), ('entertaining', -0.146), ('underrated', -0.143)]","['less than 300 ratings', 'bd-r', 'tense', 'nudity (topless)', 'betamax']"
113,Horror,2.72,"{'Horror': 2.7200902934537243, 'Comedy': 1.4376933274414494, 'Crime': 1.3903846153846156, 'Sci-Fi': 1.3577464788732394}",-1.6,"[('very good', -0.081), ('good', -0.075), ('interesting', -0.071), ('good acting', -0.07), ('original plot', -0.068), ('clever', -0.067), ('great ending', -0.066), ('great movie', -0.066), ('cool', -0.066), ('awesome', -0.065)]","['bd-r', 'action', 'visually appealing', 'based on a true story', 'atmospheric']"
114,Documentary,3.103,"{'Documentary': 3.103004291845494, 'Sci-Fi': 2.0366197183098596, 'Fantasy': 1.7527272727272727, 'Drama': 1.2286420515989496}",4.0,"[('good', -0.093), ('great', -0.085), ('very good', -0.082), ('great movie', -0.081), ('entertaining', -0.077), ('cool', -0.071), ('excellent', -0.07), ('good acting', -0.068), ('clever', -0.068), ('chase', -0.067)]","['dystopia', 'sci-fi', 'documentary', 'author:l.m. montgomery', 'teacher']"
115,Musical,3.835,"{'Musical': 3.834935170913047, 'Children': 1.9705779579285765, 'Documentary': 1.9677588192190936, 'Mystery': 1.790967987804878}",1.7,"[('saturn award (best science fiction film)', -0.079), ('saturn award (best special effects)', -0.075), ('oscar (best effects - visual effects)', -0.069), ('oscar (best sound)', -0.066), ('afi 100 (movie quotes)', -0.052), ('time', -0.051), ('epic', -0.05), ('oscar (best editing)', -0.049), ('good versus evil', -0.049), ('exciting', -0.049)]","['hip hop', 'imdb bottom 100', 'bernie mac', 'sexual', 'brigitte bardot']"
116,Children,2.885,"{'Children': 2.8854891526811297, 'Documentary': 1.920907418761496, 'Fantasy': 1.6275324675324674, 'Romance': 1.5391039496954213}",2.8,"[('great', 0.087), ('good', 0.083), ('great movie', 0.081), ('very good', 0.077), ('excellent', 0.076), ('good acting', 0.069), ('great acting', 0.066), ('classic', 0.064), ('quotable', 0.06), ('witty', 0.057)]","['betamax', 'author:l.m. montgomery', 'teacher', 'writer', 'kevin sullivan']"
117,Sci-Fi,2.583,"{'Sci-Fi': 2.583029886636895, 'Animation': 2.5377553775537756, 'Crime': 1.7634146341463417, 'Fantasy': 1.6672283813747228}",11.4,"[('better than expected', -0.039), ('disappointing', -0.033), ('notable nudity', 0.031), ('justice', -0.031), ('not funny', -0.029), ('nudity (full frontal - notable)', 0.029), ('explosions', -0.029), ('lesbian', 0.028), ('pg-13', -0.028), ('camp', 0.028)]","['animation', 'police', 'dystopia', 'amazing animation', 'dystopic future']"
118,Documentary,3.433,"{'Documentary': 3.4331111314035248, 'Children': 1.7190148143632262, 'Fantasy': 1.4543907156673113, 'Adventure': 1.299500729702742}",0.8,"[('good', -0.18), ('great', -0.173), ('great movie', -0.168), ('very good', -0.167), ('excellent', -0.158), ('good acting', -0.145), ('great acting', -0.139), ('great ending', -0.133), ('oscar winner', -0.131), ('interesting', -0.129)]","['hulk hogan', 'nostalgia critic', 'horribly awesome', 'mother love', 'thanatos!']"
119,Sci-Fi,3.152,"{'Sci-Fi': 3.151911468812877, 'Crime': 1.7214285714285713, 'Fantasy': 1.6275324675324674, 'Horror': 1.5154788777813608}",-0.3,"[('interesting', -0.063), ('very good', -0.061), ('good acting', -0.06), ('excellent script', -0.059), ('brilliant', -0.057), ('oscar winner', -0.056), ('original plot', -0.055), ('awesome', -0.055), ('good', -0.055), ('clever', -0.054)]","['betamax', 'french', 'nudity (rear)', 'briliant', 'comedy']"
120,Children,2.754,"{'Children': 2.7543305548319874, 'Fantasy': 2.3303305785123967, 'Documentary': 1.8335934451814282, 'Action': 1.5973103417021663}",4.4,"[('good', 0.185), ('very good', 0.18), ('great movie', 0.171), ('great', 0.165), ('excellent', 0.163), ('good acting', 0.163), ('great ending', 0.158), ('oscar winner', 0.154), ('clever', 0.153), ('interesting', 0.153)]","['seen', 'bd-r', 'based on a book', 'atmospheric', 'stand-up comedy']"
121,Children,3.366,"{'Children': 3.366404011461318, 'Sci-Fi': 2.206338028169014, 'Adventure': 1.6965703971119133, 'Action': 1.1713609172482553}",5.0,"[('good', -0.157), ('very good', -0.142), ('great movie', -0.133), ('great', -0.132), ('good acting', -0.128), ('excellent', -0.126), ('great ending', -0.119), ('interesting', -0.117), ('great acting', -0.116), ('clever', -0.114)]","['music', 'great soundtrack', 'androgyny', 'great music', 'great use of music']"
122,Western,4.351,"{'Western': 4.351388888888889, 'Children': 2.6931232091690545, 'Documentary': 2.6892703862660947, 'Musical': 2.329368029739777}",-2.9,"[('good', -0.099), ('great movie', -0.098), ('great', -0.096), ('very good', -0.094), ('good acting', -0.087), ('excellent', -0.085), ('pg-13', -0.085), ('quotable', -0.084), ('entertaining', -0.082), ('oscar winner', -0.081)]","['nudity (topless)', 'bd-r', 'documentary', 'bob*ola', 'henry jaglom']"
123,Horror,3.858,"{'Horror': 3.8575825979889187, 'Documentary': 3.6671868903628564, 'Mystery': 2.2251420454545454, 'Thriller': 1.787561810574363}",-3.1,"[('good acting', 0.05), ('great movie', 0.05), ('great dialogue', 0.049), ('great', 0.048), ('very good', 0.048), ('oscar (best picture)', 0.047), ('oscar winner', 0.047), ('great acting', 0.045), ('underrated', 0.045), ('great ending', 0.045)]","['betamax', 'less than 300 ratings', 'disturbing', 'feudal japan', 'samurai']"
124,Children,2.754,"{'Children': 2.7543305548319874, 'Animation': 2.3647266018114728, 'Comedy': 1.6990921142489854, 'Mystery': 1.6688565340909092}",3.7,"[('good', 0.223), ('very good', 0.218), ('great', 0.215), ('great movie', 0.214), ('excellent', 0.197), ('good acting', 0.185), ('oscar winner', 0.18), ('quotable', 0.162), ('clever', 0.162), ('great acting', 0.162)]","['fantasy', 'betamax', 'bd-r', 'sad', 'teen relationships']"
125,Documentary,3.842,"{'Documentary': 3.841814837522992, 'Musical': 3.7436271906532124, 'Children': 2.8854891526811297, 'Comedy': 1.0383340698188244}",6.8,"[('saturn award (best science fiction film)', -0.078), ('brilliant', -0.07), ('saturn award (best special effects)', -0.068), ('great movie', -0.064), ('oscar winner', -0.062), ('oscar (best effects - visual effects)', -0.062), ('classic', -0.061), ('quotable', -0.06), ('imdb top 250', -0.059), ('original plot', -0.057)]","['intimate', 'nudity (topless)', 'musical', 'disgusting', 'scott elliott']"
126,Children,2.473,"{'Children': 2.4732764165838255, 'Mystery': 1.498565051020408, 'Comedy': 1.3985724205722943, 'Fantasy': 1.3950278293135434}",4.0,"[('good', 0.301), ('great movie', 0.274), ('very good', 0.27), ('great', 0.267), ('excellent', 0.259), ('oscar winner', 0.239), ('good acting', 0.239), ('awesome', 0.229), ('great ending', 0.227), ('original plot', 0.225)]","['dialogue', 'serial killer', 'samuel l. jackson', 'scarlett johansson', 'based on a comic']"
127,Animation,2.538,"{'Animation': 2.5377553775537756, 'Children': 1.9705779579285765, 'Documentary': 1.9677588192190936, 'Action': 1.7141867081681785}",7.6,"[('good', -0.116), ('very good', -0.116), ('good acting', -0.109), ('great movie', -0.106), ('great', -0.104), ('clever', -0.099), ('interesting', -0.098), ('great ending', -0.096), ('excellent', -0.096), ('great acting', -0.095)]","['time travel', 'music', 'less than 300 ratings', 'old tucson studios', 'elmore leonard']"
