unit,factor,r,p,bucket,partial_r,partial_p
37,genre_entropy,-0.20245451094732436,2.1021169669193594e-47,moderate,-0.205418512126006,8.859380924329053e-49
38,genre_entropy,-0.02289572400853809,0.10549470069212817,weak,-0.024471256310474775,0.0835935547443598
39,genre_entropy,-0.26103206621284797,1.1081629313997947e-78,moderate,-0.26192846646202067,3.140615783149243e-79
40,genre_entropy,-0.1864590723800092,2.373260048255135e-40,moderate,-0.18918549986072214,1.647902669012786e-41
41,genre_entropy,-0.06537492736477166,3.7189835325281457e-06,weak,-0.06818937906906791,1.39211998387243e-06
42,genre_entropy,-0.22078625492423354,2.945521043402288e-56,moderate,-0.22310732350489643,1.943226580803121e-57
43,genre_entropy,-0.06414420887265776,5.6462358630220224e-06,weak,-0.06748233121995995,1.7884043505710876e-06
44,genre_entropy,-0.16255089460185426,5.970505358298687e-31,moderate,-0.16595335531045635,3.3146545313776586e-32
45,genre_entropy,-0.2191729798235539,1.9134387601591584e-55,moderate,-0.2213341280783693,1.554889094313772e-56
46,genre_entropy,-0.06457581457014852,4.881248196404418e-06,weak,-0.06789412461905545,1.5460901210867247e-06
47,genre_entropy,-0.11568892248179108,2.287513274718932e-16,moderate,-0.11931819843341901,2.5567563621144175e-17
48,genre_entropy,-0.18587373569034604,4.185219516823114e-40,moderate,-0.18930019341755214,1.471663371344559e-41
49,genre_entropy,-0.24463555881366478,4.856243637863876e-69,moderate,-0.24713776305463853,1.8217335181993027e-70
50,genre_entropy,-0.2626999792488031,1.0568185629418567e-79,moderate,-0.26415712517111234,1.3374756547745203e-80
51,genre_entropy,-0.2519540853163048,2.951568592831414e-73,moderate,-0.2539586629670928,1.9531690279711522e-74
52,genre_entropy,-0.20342497195633705,7.49458625935191e-48,moderate,-0.20653913391229523,2.641404237891075e-49
53,genre_entropy,-0.0865908508018369,8.629770208044866e-10,weak,-0.09014448510294873,1.7074078559916673e-10
54,genre_entropy,-0.2606385207326809,1.9245737089120682e-78,moderate,-0.261613721223931,4.892478612384599e-79
